Başlık,Yazar,Yıl,Dergi,DOI,Scopus URL
"Hotel overbooking, capacity rationing and cooperation with third-parties: a two-period optimisation model",Aygün N.K.,2024-01-01,European Journal of Industrial Engineering,10.1504/EJIE.2024.141730,https://api.elsevier.com/content/abstract/scopus_id/85206438668
European approach to the importance of sports management competencies in women’s semi-professional teams,Maciá-Andreu M.J.,2024-01-01,Apunts. Educacion Fisica y Deportes,10.5672/apunts.2014-0983.es.(2024/4).158.05,https://api.elsevier.com/content/abstract/scopus_id/85205943624
Design of Seismic Retrofitting Using Viscous Dampers: A Case Study from a School Building,Yıldız M.G.,2024-01-01,Lecture Notes in Civil Engineering,10.1007/978-3-031-71048-3_20,https://api.elsevier.com/content/abstract/scopus_id/85205337640
THEORETICAL PERFORMANCE ASSESSMENT OF A PARABOLIC TROUGH HUMIDIFYING SOLAR COLLECTOR-BASED SOLAR STILL,Welepe H.J.N.,2024-01-01,Isi Bilimi Ve Teknigi Dergisi/ Journal of Thermal Science and Technology,10.47480/isibted.1494478,https://api.elsevier.com/content/abstract/scopus_id/85205303063
Cultural Heritage Manifestation in Computer Role-Playing Games for Enhancing Museum Experience: A Model Proposal,Türkmen D.,2024-01-01,Journal of Museum Education,10.1080/10598650.2024.2391718,https://api.elsevier.com/content/abstract/scopus_id/85204556348
ARCHITECTURAL LIGHTING DESIGN EVALUATION OF IZMIR ATATURK MUSEUM,Sonmez N.,2024-01-01,Light and Engineering,10.33383/2024-024,https://api.elsevier.com/content/abstract/scopus_id/85204541955
Integrating Lean Six Sigma with life cycle and value stream level of RAMI 4.0,Ozkan-Ozen Y.D.,2024-01-01,Quality Management Journal,10.1080/10686967.2024.2394400,https://api.elsevier.com/content/abstract/scopus_id/85204186685
Integrating Fuzzy AHP and TOPSIS for Optimal Air Fryer Selection: A Consumer-Centric Approach,Paldrak M.,2024-01-01,Lecture Notes in Networks and Systems,10.1007/978-3-031-70018-7_13,https://api.elsevier.com/content/abstract/scopus_id/85203598254
Performance analysis of data-driven sustainable supply chain management,Gazibey Y.,2024-01-01,International Journal of Business Performance Management,10.1504/IJBPM.2024.140738,https://api.elsevier.com/content/abstract/scopus_id/85203524405
Heuristic methods for integrated incremental schedule design and fleet assignment problem for hub and spoke network,Tacoglu M.T.,2024-01-01,International Journal of Sustainable Aviation,10.1504/IJSA.2024.140654,https://api.elsevier.com/content/abstract/scopus_id/85202918426
Corporate social responsibility communication strategies of hotel companies,Enser İ.,2024-01-01,Cogent Social Sciences,10.1080/23311886.2024.2392020,https://api.elsevier.com/content/abstract/scopus_id/85201820240
A Comprehensive Overview of Foreign Language Teachers' Professional Development: Self-directed and Institutional Professional Development Activities of English Teachers in Turkey,Bıyık Ç.Ö.,2024-01-01,Egitim ve Bilim,10.15390/EB.2024.12423,https://api.elsevier.com/content/abstract/scopus_id/85201536791
Bibliometric analysis of sports management competencies in women's semi-professional sport: A comprehensive analysis at the literature with data visualization software,Pirina D.M.G.,2024-01-01,Procedia Computer Science,10.1016/j.procs.2024.06.332,https://api.elsevier.com/content/abstract/scopus_id/85201322475
Fiscal Resilience or Vulnerability? Assessing Public Debt Sustainability in the Developing Countries During 1996–2020,Shah S.S.A.,2024-01-01,Journal of the Knowledge Economy,10.1007/s13132-024-02251-x,https://api.elsevier.com/content/abstract/scopus_id/85201264692
Analysis on α-time scales and its applications to Cauchy-Euler equation,Silindir B.,2024-01-01,Applied Mathematics and Information Sciences,10.18576/amis/180512,https://api.elsevier.com/content/abstract/scopus_id/85200407128
Decarbonised closed-loop supply chains resilience: examining the impact of COVID-19 toward risk mitigation by a fuzzy multi-layer decision-making framework,Amoozad Mahdiraji H.,2024-01-01,Annals of Operations Research,10.1007/s10479-024-06093-3,https://api.elsevier.com/content/abstract/scopus_id/85200382200
“Bargaining With Patriarchy”: Newsroom Experiences of Women Journalists in Turkey and Greece,Alankuş S.,2024-01-01,International Journal of Communication,,https://api.elsevier.com/content/abstract/scopus_id/85200333089
Impact of disaggregated level clean electricity on CO<inf>2</inf> emissions: Evidence from EU-5 countries by bivariate and multivariate QQ approaches,Kartal M.T.,2024-01-01,Energy and Environment,10.1177/0958305X241266270,https://api.elsevier.com/content/abstract/scopus_id/85200219749
"Energy, exergy and economic assessments of wind turbine alternatives",Yildirim N.,2024-01-01,International Journal of Exergy,10.1504/IJEX.2024.140182,https://api.elsevier.com/content/abstract/scopus_id/85200217462
Convolutional Neural Network for Cotton Yield Estimation,Unluturk M.S.,2024-01-01,Studies in Informatics and Control,10.24846/V33I2Y202410,https://api.elsevier.com/content/abstract/scopus_id/85200207653
"Gen Z travel intentions and museum visits in the metaverse: case of Egypt, Scotland, and Turkey",Nazli M.,2024-01-01,Current Issues in Tourism,10.1080/13683500.2024.2376885,https://api.elsevier.com/content/abstract/scopus_id/85198370496
Political economy of Turkey’s pivot to Asia,Gönenç D.,2024-01-01,Turkish Studies,10.1080/14683849.2024.2371002,https://api.elsevier.com/content/abstract/scopus_id/85197716391
Online Planning Approaches for Multi-Robot Rendezvous,Ozsoyeller D.,2024-01-01,"2024 10th International Conference on Automation, Robotics, and Applications, ICARA 2024",10.1109/ICARA60736.2024.10553000,https://api.elsevier.com/content/abstract/scopus_id/85197363865
Fuzzy Logic Supported Tracking of Elderly People Moving Away From Living Space,Gora O.,2024-01-01,"HORA 2024 - 6th International Congress on Human-Computer Interaction, Optimization and Robotic Applications, Proceedings",10.1109/HORA61326.2024.10550781,https://api.elsevier.com/content/abstract/scopus_id/85196757882
An Empirical Evaluation of Feature Selection Stability and Classification Accuracy,Buyukkececi M.,2024-01-01,Gazi University Journal of Science,10.35378/gujs.998964,https://api.elsevier.com/content/abstract/scopus_id/85196141205
Special Issue on advances in mathematical modeling and its applications,Ram M.,2024-01-01,"Mathematics in Engineering, Science and Aerospace",,https://api.elsevier.com/content/abstract/scopus_id/85196075389
Makespan and energy based virtual machine scheduling in cloud systems,Kizil A.,2024-01-01,Journal of the Faculty of Engineering and Architecture of Gazi University,10.17341/gazimmfd.1202336,https://api.elsevier.com/content/abstract/scopus_id/85195867731
Remembering Cinematic Sequences: Boundaries Disrupt Memory in Fast-Paced Visual Events,Şimşek A.C.,2024-01-01,"Psychology of Aesthetics, Creativity, and the Arts",10.1037/aca0000661,https://api.elsevier.com/content/abstract/scopus_id/85195610561
"Robust, extended goal programming with uncertainty sets: an application to a multi-objective portfolio selection problem leveraging DEA",Mohseny-Tonekabony N.,2024-01-01,Annals of Operations Research,10.1007/s10479-023-05811-7,https://api.elsevier.com/content/abstract/scopus_id/85193702629
Online Self-Supervised Deep Learning for Intrusion Detection Systems,Nakip M.,2024-01-01,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2024.3402148,https://api.elsevier.com/content/abstract/scopus_id/85193501198
“The Devil in the Mirror: Projections of Desire from Folk Tales to Witcher 3: The Wild Hunt”,Özgü C.,2024-01-01,Games and Culture,10.1177/15554120241255417,https://api.elsevier.com/content/abstract/scopus_id/85193389467
Additive manufacturing and its impact on pharmaceutical supply chains,Li W.,2024-01-01,Medical Additive Manufacturing: Concepts and Fundamentals,10.1016/B978-0-323-95383-2.00018-4,https://api.elsevier.com/content/abstract/scopus_id/85193321254
Multi-Sensor E-Nose Based on Online Transfer Learning Trend Predictive Neural Network,Bulucu P.,2024-01-01,IEEE Access,10.1109/ACCESS.2024.3401569,https://api.elsevier.com/content/abstract/scopus_id/85193278756
Restorative Effects of Virtual Nature on the Emotional Well-being of Community-dwelling Older Adults,Şansal K.E.,2024-01-01,European Journal of Geriatrics and Gerontology,10.4274/ejgg.galenos.2023.2023-3-2,https://api.elsevier.com/content/abstract/scopus_id/85192968262
Performance evaluation of geothermal assisted VAC systems for residential cooling purposes,Yildirim N.,2024-01-01,International Journal of Exergy,10.1504/IJEX.2024.138133,https://api.elsevier.com/content/abstract/scopus_id/85192085666
Assessment of exergy-based performance and sustainability indicators of a sewage water source heat pump system,Celik A.G.,2024-01-01,International Journal of Exergy,10.1504/IJEX.2024.138092,https://api.elsevier.com/content/abstract/scopus_id/85192057184
Supply chain socially sustainability practices and their impact on supply chain performance: a study from the Indian automobile industry,Sharma S.K.,2024-01-01,Annals of Operations Research,10.1007/s10479-024-05991-w,https://api.elsevier.com/content/abstract/scopus_id/85191725213
Online Education in Higher Education Institutions During the Covid-19 Pandemic: The Case of Türkiye,Aras Beger G.,2024-01-01,"CSR, Sustainability, Ethics and Governance",10.1007/978-3-031-49353-9_12,https://api.elsevier.com/content/abstract/scopus_id/85191316629
A Broadband Lens Loaded Vivaldi Antenna for Sub-6 GHz/mm Wave 5G Applications and Wideband Nondestructive Material Characterization,Colak B.,2024-01-01,"2024 15th German Microwave Conference, GeMiC 2024",10.23919/GeMiC59120.2024.10485295,https://api.elsevier.com/content/abstract/scopus_id/85190640323
Analyzing the Direct Effect of Multidimensional Country Image on Purchase Intention: A Preliminary Study on Foreign Student in Turkiye,Yarimoglu E.,2024-01-01,Journal of East-West Business,10.1080/10669868.2024.2333238,https://api.elsevier.com/content/abstract/scopus_id/85190448035
Roles of Reactive Carbonyl Species (RCS) in Plant Response to Abiotic Stress,Sonmez M.C.,2024-01-01,Methods in Molecular Biology,10.1007/978-1-0716-3826-2_7,https://api.elsevier.com/content/abstract/scopus_id/85190398418
Maximum-Likelihood Detection With QAOA for Massive MIMO and Sherrington-Kirkpatrick Model With Local Field at Infinite Size,Gulbahar B.,2024-01-01,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3383101,https://api.elsevier.com/content/abstract/scopus_id/85190173264
"Advancements in Deep Reinforcement Learning and Inverse Reinforcement Learning for Robotic Manipulation: Toward Trustworthy, Interpretable, and Explainable Artificial Intelligence",Ozalp R.,2024-01-01,IEEE Access,10.1109/ACCESS.2024.3385426,https://api.elsevier.com/content/abstract/scopus_id/85189774237
"On Design: Theory, History, Education and Practice",Balcıoğlu T.,2024-01-01,"On Design: Theory, History, Education and Practice",,https://api.elsevier.com/content/abstract/scopus_id/85189397202
"HIGHER EDUCATION, AND THE FUTURE OF DISTANCE TEACHING AND PERCEPTIONS OF ACADEMICS; AN INVESTIGATION IN TURKEY",Çetin İ.,2024-01-01,Tourism and Hospitality Management,10.20867/thm.30.1.7,https://api.elsevier.com/content/abstract/scopus_id/85187905292
Analytic Hierarchy Process (AHP) and Goal Programming Approach for a Real-Life Supplier Selection Problem,Erdinç P.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_53,https://api.elsevier.com/content/abstract/scopus_id/85187808587
"Applications of Statistical Process Control, Quality Improvement Tools and Techniques, and a Simulation Model in a Garment Manufacturing Company",Erdinç P.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_31,https://api.elsevier.com/content/abstract/scopus_id/85187808462
Maintenance Decision and Spare Part Selection for Multi-component System,Kaya B.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_34,https://api.elsevier.com/content/abstract/scopus_id/85187807210
Analysis of a Turkey Meat Production Agri-Chain: A Simulation Study,Aygün N.K.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_39,https://api.elsevier.com/content/abstract/scopus_id/85187805509
A Firefly Algorithm for Bi-Objective Airport Gate Assignment Problem,Paldrak M.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_29,https://api.elsevier.com/content/abstract/scopus_id/85187805152
A Warehouse Management Decision Support System for a Spare Parts Company,Kurt B.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_52,https://api.elsevier.com/content/abstract/scopus_id/85187802027
Peak Period Inventory Planning for Apparel Industry,Gökçe M.A.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_36,https://api.elsevier.com/content/abstract/scopus_id/85187797831
Warehouse Design and Order Picking Algorithms for Apparel Industry,Güntekin D.S.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_62,https://api.elsevier.com/content/abstract/scopus_id/85187793829
Risk &amp; Project Management in Project Logistics: Wind Turbine Transportation Project,Salış Z.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_60,https://api.elsevier.com/content/abstract/scopus_id/85187792620
Integrating Lean into Supplier Selection Problems in Small and Medium-Sized Enterprises,Çaylak E.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_57,https://api.elsevier.com/content/abstract/scopus_id/85187790300
Capacity Expansion Through Bottleneck Analysis for an OEM Company,Bayraktar A.A.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_55,https://api.elsevier.com/content/abstract/scopus_id/85187786175
Application of Meta-heuristic Algorithms for Sequencing Multi-model Assembly Line with Sequence-Dependent Setup Time in Garment Industry,Kuzu T.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_54,https://api.elsevier.com/content/abstract/scopus_id/85187786066
Production Control of a Make-to-Stock System with Non-identical Parallel Production Lines and Lost Sales,Özkan S.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_37,https://api.elsevier.com/content/abstract/scopus_id/85187785942
The Role of Smart Farming on Feed Company,Çakır E.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_61,https://api.elsevier.com/content/abstract/scopus_id/85187778379
A Lost Sales Make-to-Stock System with Batch Demand and Batch Production,Özkan S.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_35,https://api.elsevier.com/content/abstract/scopus_id/85187776712
Inventory Management Optimization for Intermittent Demand,Kaya B.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-3-031-53991-6_59,https://api.elsevier.com/content/abstract/scopus_id/85187776684
How the Pandemic Shaped the Digital Skills of Journalists in Turkey,Yanardağoğlu E.,2024-01-01,Journalism Practice,10.1080/17512786.2024.2324336,https://api.elsevier.com/content/abstract/scopus_id/85187154549
Different types of approximation operators on G<inf>n</inf>-CAS via ideals,Bedre Özbakir O.,2024-01-01,Filomat,10.2298/FIL2402727B,https://api.elsevier.com/content/abstract/scopus_id/85186574378
A two-stage real world serial batching scheduling problem: a case study,Karakutuk S.S.,2024-01-01,Journal of the Operational Research Society,10.1080/01605682.2024.2320385,https://api.elsevier.com/content/abstract/scopus_id/85186230030
Looking into Mid-Century Modern Furniture Design in Turkey through Oral History,Tuna Ultav Z.,2024-01-01,Design and Culture,10.1080/17547075.2024.2307126,https://api.elsevier.com/content/abstract/scopus_id/85186208137
A Novel Procedure for the AHP Method for the Site Selection of Solar PV Farms,Demir A.,2024-01-01,International Journal of Energy Research,10.1155/2024/5535398,https://api.elsevier.com/content/abstract/scopus_id/85185887882
Solving blocking flowshop scheduling problem with makespan criterion using q-learning-based iterated greedy algorithms,Tasgetiren M.F.,2024-01-01,Journal of Project Management (Canada),10.5267/j.jpm.2024.2.002,https://api.elsevier.com/content/abstract/scopus_id/85185672739
"Empirical Nexus Between Firm Characteristics, Market Characteristics, Financial Delinquency, and Its Analogy to Access to Finance for SMEs",Khan W.,2024-01-01,Journal of the Knowledge Economy,10.1007/s13132-024-01836-w,https://api.elsevier.com/content/abstract/scopus_id/85185117249
Linkage Theory and Autocratic Regime-Survival Strategies in a Post-Liberal Order: The Case of Authoritarian Middle Power Turkey (2013–2022),Güney A.,2024-01-01,Journal of Balkan and Near Eastern Studies,10.1080/19448953.2024.2308968,https://api.elsevier.com/content/abstract/scopus_id/85184885431
"Introduction to the Special Issue “Turkey, Asia, and the EU in a Changing Global Order”",Huang Q.,2024-01-01,Journal of Balkan and Near Eastern Studies,10.1080/19448953.2024.2308959,https://api.elsevier.com/content/abstract/scopus_id/85184169093
"Enhancing e-grocery order fulfillment: improving product availability, cost, and emissions in last-mile delivery",Ekren B.Y.,2024-01-01,Electronic Commerce Research,10.1007/s10660-023-09799-x,https://api.elsevier.com/content/abstract/scopus_id/85183346183
"Turkey’s Political Parties’ Asia Policies: Visions, Contacts, Issues",Evrensel E.,2024-01-01,Journal of Balkan and Near Eastern Studies,10.1080/19448953.2024.2308965,https://api.elsevier.com/content/abstract/scopus_id/85183059680
A review of substrate integrated waveguide (SIW) filter architecture and filter design technologies,Güvenli K.,2024-01-01,Journal of the Faculty of Engineering and Architecture of Gazi University,10.17341/gazimmfd.1220575,https://api.elsevier.com/content/abstract/scopus_id/85179855394
Building sustainable resilient supply chain in retail sector under disruption,Ekinci E.,2024-01-01,Journal of Cleaner Production,10.1016/j.jclepro.2023.139980,https://api.elsevier.com/content/abstract/scopus_id/85178662122
Analysing of the territorial competitiveness index in Izmir through dynamic model,Sezer M.D.,2024-01-01,Resources Policy,10.1016/j.resourpol.2023.104431,https://api.elsevier.com/content/abstract/scopus_id/85178123801
Effective health communication depends on the interaction of message source and content: two experiments on adherence to COVID-19 measures in Türkiye,Bayrak F.,2024-01-01,Psychology and Health,10.1080/08870446.2023.2285445,https://api.elsevier.com/content/abstract/scopus_id/85177577977
"A Hybrid Decision Model for Balancing the Technological Advancement, Human Intervention and Business Sustainability in Industry 5.0 Adoption",Sindhwani R.,2024-01-01,Lecture Notes in Mechanical Engineering,10.1007/978-981-99-6062-0_65,https://api.elsevier.com/content/abstract/scopus_id/85174598049
Smart Closed-Loop Food Supply Chain in Circular Economy,Kazancoglu Y.,2024-01-01,IEEE Transactions on Engineering Management,10.1109/TEM.2023.3303272,https://api.elsevier.com/content/abstract/scopus_id/85168748578
A constraint programming approach to a real-world workforce scheduling problem for multi-manned assembly lines with sequence-dependent setup times,Güner F.,2024-01-01,International Journal of Production Research,10.1080/00207543.2023.2226772,https://api.elsevier.com/content/abstract/scopus_id/85165156864
The positive association of education with the trust in science and scientists is weaker in highly corrupt countries,Alper S.,2024-01-01,Public Understanding of Science,10.1177/09636625231176935,https://api.elsevier.com/content/abstract/scopus_id/85162630801
Architectural space classification considering topological and 3D visual spatial relations using machine learning techniques,Yıldız B.,2024-01-01,Building Research and Information,10.1080/09613218.2023.2204418,https://api.elsevier.com/content/abstract/scopus_id/85158819483
Cost and performance comparison of tier-captive SBS/RS with a novel AVS/RS/ML,Yetkin Ekren B.,2024-01-01,International Journal of Production Research,10.1080/00207543.2023.2199101,https://api.elsevier.com/content/abstract/scopus_id/85153365465
Adaptation of local businesses to the new era during the COVID-19 and the Russia-Ukraine war: case of Çeşme,Nazli M.,2024-01-01,Current Issues in Tourism,10.1080/13683500.2023.2200922,https://api.elsevier.com/content/abstract/scopus_id/85153255053
A mixed method for determination of cut-off dates in liner shipping,Caliskan A.,2024-01-01,Maritime Policy and Management,10.1080/03088839.2023.2180550,https://api.elsevier.com/content/abstract/scopus_id/85148594480
Barriers to Using Digital Technologies in Pharmaceutical Supply Chains in Emerging Economies: A Comparative Study on Manufacturers and Distributors in Turkey,Ozbiltekin-Pala M.,2024-01-01,IEEE Transactions on Engineering Management,10.1109/TEM.2022.3229697,https://api.elsevier.com/content/abstract/scopus_id/85146221641
Like a Record: The Muse and Mimesis of The Forensic Records Society,Ward J.M.,2024-01-01,Critique - Studies in Contemporary Fiction,10.1080/00111619.2022.2142085,https://api.elsevier.com/content/abstract/scopus_id/85142161006
Autonomous mobile robot travel under deadlock and collision prevention algorithms by agent-based modelling in warehouses,Turhanlar E.E.,2024-01-01,International Journal of Logistics Research and Applications,10.1080/13675567.2022.2138290,https://api.elsevier.com/content/abstract/scopus_id/85141141541
Pure-direct-projective modules,Alizade R.,2024-01-01,Journal of Algebra and its Applications,10.1142/S0219498824500105,https://api.elsevier.com/content/abstract/scopus_id/85140872509
A reinforcement learning approach for transaction scheduling in a shuttle-based storage and retrieval system,Ekren B.Y.,2024-01-01,International Transactions in Operational Research,10.1111/itor.13135,https://api.elsevier.com/content/abstract/scopus_id/85127286408
A circular business cluster model for sustainable operations management,Ada E.,2024-01-01,International Journal of Logistics Research and Applications,10.1080/13675567.2021.2008335,https://api.elsevier.com/content/abstract/scopus_id/85120816121
Evaluating resilience in food supply chains during COVID-19,Kazancoglu Y.,2024-01-01,International Journal of Logistics Research and Applications,10.1080/13675567.2021.2003762,https://api.elsevier.com/content/abstract/scopus_id/85119326545
Assessing dairy supply chain vulnerability during the Covid-19 pandemic,Karwasra K.,2024-01-01,International Journal of Logistics Research and Applications,10.1080/13675567.2021.1910221,https://api.elsevier.com/content/abstract/scopus_id/85104054928
Sofalizing and its relationship with social media addiction and psychosocial factors: A new phenomenon among emerging adults,Tosuntaş Ş.B.,2024-01-01,Social Science Journal,10.1080/03623319.2020.1809900,https://api.elsevier.com/content/abstract/scopus_id/85090956298
The Relevance of Cognitive Processes to the Formation and Consequences of Conspiracy Theory Appraisals,Alper S.,2024-01-01,Psychological Inquiry,10.1080/1047840X.2024.2442963,https://api.elsevier.com/content/abstract/scopus_id/105000668678
High voltage response of graphene/4H-SiC UV photodetector with low level detection,Jehad A.K.,2023-12-25,Journal of Alloys and Compounds,10.1016/j.jallcom.2023.172288,https://api.elsevier.com/content/abstract/scopus_id/85173158244
Residents' awareness and knowledge of sustainable smart cities,Alakavuk E.,2023-12-11,E3S Web of Conferences,10.1051/e3sconf/202346005006,https://api.elsevier.com/content/abstract/scopus_id/85182777651
Changing consumer buyer decision process in the context of instamoms,Ipekoğlu E.,2023-12-08,Using Influencer Marketing as a Digital Business Strategy,10.4018/979-8-3693-0551-5.ch013,https://api.elsevier.com/content/abstract/scopus_id/85182097093
Digital environment and interaction in design education,Demirbaş Ö.,2023-12-01,IDA: International Design and Art Journal,,https://api.elsevier.com/content/abstract/scopus_id/85208650312
Emerging trends for blockchain technology in smart supply chain management,Ozbiltekin-Pala M.,2023-12-01,Building Smart and Sustainable Businesses With Transformative Technologies,10.4018/9798369302101.ch004,https://api.elsevier.com/content/abstract/scopus_id/85182094371
Constructions of Multiple Deservingness Frames towards Refugees in Everyday Work Life in Izmir <sup>_</sup>,Siviş S.,2023-12-01,Journal of Refugee Studies,10.1093/jrs/fead035,https://api.elsevier.com/content/abstract/scopus_id/85181912602
Environmental Sustainability Implications and Economic Prosperity of Integrated Renewable Solutions in Urban Development,Kazancoglu Y.,2023-12-01,Energies,10.3390/en16248120,https://api.elsevier.com/content/abstract/scopus_id/85180700667
A Comprehensive Review of Feature Selection and Feature Selection Stability in Machine Learning,Buyukkececi M.,2023-12-01,Gazi University Journal of Science,10.35378/gujs.993763,https://api.elsevier.com/content/abstract/scopus_id/85179713077
PrepAnnECG: A user friendly MATLAB ECG preprocessing and annotation GUI for health professionals,Ozkurt N.,2023-12-01,SoftwareX,10.1016/j.softx.2023.101589,https://api.elsevier.com/content/abstract/scopus_id/85178662129
"A Joint Evaluation of Streamflow Drought and Standard Precipitation Indices in Aegean Region, Turkey",Gulmez A.,2023-12-01,Pure and Applied Geophysics,10.1007/s00024-023-03378-9,https://api.elsevier.com/content/abstract/scopus_id/85177654514
Leveraging corporate sustainability through responsible innovation: Capacity building with exploration and exploitation,Beger G.A.,2023-12-01,Creativity and Innovation Management,10.1111/caim.12576,https://api.elsevier.com/content/abstract/scopus_id/85174577674
Data-driven decision making for modelling covid-19 and its implications: A cross-country study,Sariyer G.,2023-12-01,Technological Forecasting and Social Change,10.1016/j.techfore.2023.122886,https://api.elsevier.com/content/abstract/scopus_id/85173017066
A collaborative numerical simulation-soft computing approach for earth dams first impoundment modeling,Shakouri B.,2023-12-01,Computers and Geotechnics,10.1016/j.compgeo.2023.105814,https://api.elsevier.com/content/abstract/scopus_id/85172288555
Robust low-rank learning multi-output regression for incipient sediment motion in sewer pipes,Safari M.J.S.,2023-12-01,International Journal of Sediment Research,10.1016/j.ijsrc.2023.08.004,https://api.elsevier.com/content/abstract/scopus_id/85171296031
Ensemble and optimized hybrid algorithms through Runge Kutta optimizer for sewer sediment transport modeling using a data pre-processing approach,Gul E.,2023-12-01,International Journal of Sediment Research,10.1016/j.ijsrc.2023.07.003,https://api.elsevier.com/content/abstract/scopus_id/85170540978
Challenges for circular food packaging: Circular resources utilization,Ada E.,2023-12-01,Applied Food Research,10.1016/j.afres.2023.100310,https://api.elsevier.com/content/abstract/scopus_id/85163173627
"Exploring antecedents for the circular economy capability of micro, small and medium enterprises: An empirical study",Baral M.M.,2023-12-01,Business Strategy and the Environment,10.1002/bse.3448,https://api.elsevier.com/content/abstract/scopus_id/85159662196
Love and affectionate touch toward romantic partners all over the world,Sorokowska A.,2023-12-01,Scientific Reports,10.1038/s41598-023-31502-1,https://api.elsevier.com/content/abstract/scopus_id/85151792240
Energy policy simulation in times of crisis: Revisiting the impact of renewable and non-renewable energy production on environmental quality in Germany,Adedoyin F.F.,2023-12-01,Energy Reports,10.1016/j.egyr.2023.03.120,https://api.elsevier.com/content/abstract/scopus_id/85151506286
"Modernization, collectivism, and gender equality predict love experiences in 45 countries",Sorokowski P.,2023-12-01,Scientific Reports,10.1038/s41598-022-26663-4,https://api.elsevier.com/content/abstract/scopus_id/85146322573
Pointwise Second-Order Necessary Conditions for Stochastic Optimal Control with Jump Diffusions,Ghoul A.,2023-12-01,Communications in Mathematics and Statistics,10.1007/s40304-021-00272-5,https://api.elsevier.com/content/abstract/scopus_id/85137016745
"The Association between Meteorological Drought and the State of the Groundwater Level in Bursa, Turkey",Vaheddoost B.,2023-11-01,Sustainability (Switzerland),10.3390/su152115675,https://api.elsevier.com/content/abstract/scopus_id/85186224188
The Nature and Layers of Dynamic Capabilities of Firms Engaging in Business Model Innovations: A Qualitative Study on Information Technology Firms in Istanbul's Science-Parks,Ogrenci S.,2023-11-01,International Journal of Innovation and Technology Management,10.1142/S0219877023500426,https://api.elsevier.com/content/abstract/scopus_id/85175805661
"Multi-objective evolutionary optimization of photovoltaic glass for thermal, daylight, and energy consideration",Taşer A.,2023-11-01,Solar Energy,10.1016/j.solener.2023.112070,https://api.elsevier.com/content/abstract/scopus_id/85173619676
Multi-timescale boosting for efficient and improved event camera face pose alignment,Savran A.,2023-11-01,Computer Vision and Image Understanding,10.1016/j.cviu.2023.103817,https://api.elsevier.com/content/abstract/scopus_id/85169880646
Increase in physiological inhibitory control results in better suppression of unwanted memories,Gunduz T.,2023-11-01,British Journal of Psychology,10.1111/bjop.12667,https://api.elsevier.com/content/abstract/scopus_id/85161067457
Circularity assessment of logistics activities for green business performance management,Berberoglu Y.,2023-11-01,Business Strategy and the Environment,10.1002/bse.3390,https://api.elsevier.com/content/abstract/scopus_id/85148514352
Why Some Students Adjust Easily While Others Can Not? Stress and Adjustment to University: Personality as Moderator,Kural A.I.,2023-11-01,"Journal of College Student Retention: Research, Theory and Practice",10.1177/15210251211002179,https://api.elsevier.com/content/abstract/scopus_id/85102704149
How does CSR address equality problems towards sustainable development goals? Business cases from various industries,Beger G.A.,2023-10-12,The Elgar Companion to Corporate Social Responsibility and the Sustainable Development Goals,,https://api.elsevier.com/content/abstract/scopus_id/85178977553
A guide for a guide: using UIA publications for an SDG-focused studio,Akgun Y.,2023-10-11,Archnet-IJAR: International Journal of Architectural Research,10.1108/ARCH-11-2022-0245,https://api.elsevier.com/content/abstract/scopus_id/85148629549
Mechatronics and OSH,Gora O.,2023-10-06,Interdisciplinary Perspectives on Occupational Safety and Health,,https://api.elsevier.com/content/abstract/scopus_id/85176014207
"DISENTANGLING THE INNOVATION ORIENTATION, INTELLECTUAL CAPITAL, AND DYNAMIC INNOVATION CAPABILITY RELATIONSHIPS IN EMERGING ECONOMY START-UPS",Karadağ H.,2023-10-01,International Journal of Innovation Management,10.1142/S1363919623500391,https://api.elsevier.com/content/abstract/scopus_id/85182548116
Indoor Environmental Quality Optimisation Model for Institutional Care Rooms of Elderly People,Cubukcuoglu C.,2023-10-01,Buildings,10.3390/buildings13102625,https://api.elsevier.com/content/abstract/scopus_id/85175020302
